"index","diff","approving"
4,2,1
9,6,1
11,1,0
11,6,0
11,5,0
17,2,1
18,2,0
47,6,1
62,1,1
86,2,0
89,7,1
97,11,1
126,4,1
126,1,1
135,5,1
160,6,1
194,1,1
237,1,1
259,12,1
429,3,1
508,1,1
515,7,1
552,2,1
1297,1,1
1448,1,1
1549,1,1
1993,2,1
2080,2,1
2129,3,1
2142,1,1
2360,2,1
2416,1,1
2550,4,1
2606,4,1
2949,4,1
2955,1,1
2997,5,1
3055,3,1
3080,5,1
3105,4,1
3215,5,1
3256,3,1
3332,5,0
3481,1,1
3571,4,1
3693,4,1
3877,1,1
3878,5,1
3904,5,1
3934,5,1
3947,8,1
4019,2,1
4020,1,1
3936,6,1
238,6,1
44,1,1
407,6,1
3465,6,1
3310,1,0
44,5,1
4002,12,1
3690,6,1
106,2,1
100,19,1
3782,1,1
3162,1,1
428,1,1
119,1,1
4018,1,0
427,1,1
318,1,1
326,1,1
4073,7,1
2694,4,1
32,6,1
418,1,1
1125,1,1
4035,2,1
2128,2,1
10,6,1
3039,2,1
88,3,1
4073,8,1
3936,2,1
159,5,1
493,4,1
6,8,1
187,1,1
87,3,1
253,5,1
3890,2,1
3533,3,0
3205,4,1
11,2,0
3437,5,1
126,2,1
3995,1,1
3754,2,1
1817,2,1
88,1,1
3961,7,1
449,2,1
188,3,1
32,7,1
3882,4,1
18,1,1
95,5,1
3,3,1
3859,3,1
88,5,1
441,4,1
89,2,1
97,7,1
3593,1,1
3016,5,1
2651,1,1
65,8,1
10,5,1
412,3,1
166,8,1
11,4,0
2379,2,1
115,1,1
36,1,1
553,11,1
3147,5,1
4017,2,0
1748,1,1
2980,4,1
3093,1,1
2109,1,1
2129,2,1
6,1,1
121,2,1
205,4,1
3534,1,1
86,2,1
450,3,1
4044,10,1
314,1,1
3081,1,1
3075,2,1
1988,1,1
3790,8,1
2437,1,1
87,1,1
2376,3,1
457,1,1
560,3,1
188,4,1
2585,2,1
2843,1,1
3447,3,0
505,3,1
3745,8,1
553,2,1
4073,17,1
42,5,1
34,6,1
128,1,1
3558,2,1
117,9,1
1,3,0
2552,4,1
49,3,1
3598,3,0
289,1,1
425,5,1
114,7,0
3685,6,1
392,5,1
1709,1,1
2583,3,1
346,2,1
523,1,1
3693,7,1
1941,1,1
3745,4,0
3767,1,1
1727,1,1
98,3,1
3016,2,1
205,2,1
5,5,1
527,1,1
3809,2,1
231,1,1
3085,1,1
3092,6,1
3923,5,1
342,2,1
117,3,1
2359,3,1
371,1,1
436,2,1
3662,1,1
444,3,1
3536,2,1
3843,9,1
2694,3,1
184,1,0
3141,5,1
3536,5,1
159,4,1
2579,4,1
440,2,1
60,1,1
13,4,1
538,2,1
3105,2,1
1796,1,1
2525,2,1
1160,1,1
3544,2,1
2583,4,0
97,10,1
3742,3,1
107,6,1
144,4,1
3527,4,1
1,6,0
3608,1,1
1,1,1
4019,1,1
3613,4,1
3966,2,1
1,8,1
4,5,1
3303,2,1
1,4,0
1971,2,1
2935,1,1
390,5,1
17,3,1
2848,3,1
6,2,1
217,3,1
2591,3,1
3019,1,1
116,5,1
538,8,1
18,6,1
236,2,1
16,1,1
129,2,1
118,12,1
2875,3,1
97,1,1
3693,2,1
3699,1,1
3549,3,1
4007,8,1
3016,4,1
1519,1,1
13,6,0
3310,3,1
2,1,NA
3674,7,NA
3683,4,NA
3954,8,NA
410,2,NA
2,5,NA
3866,1,NA
136,8,NA
2907,2,NA
3363,1,NA
239,1,NA
3828,2,NA
4020,8,NA
181,3,NA
240,6,NA
5,2,NA
120,6,NA
137,1,NA
3909,2,NA
